,make_model,price,km,Gears,age,hp_kW
293,Audi A1,13892,69850.0,7.0,3.0,66.0
294,Audi A1,13990,46000.0,7.0,3.0,85.0
295,Audi A1,13950,10000.0,7.0,3.0,70.0
296,Audi A1,13900,108000.0,7.0,3.0,66.0
297,Audi A1,14990,35367.0,7.0,3.0,70.0
298,Audi A1,15000,78000.0,7.0,2.0,85.0
299,Audi A1,14998,137066.0,7.0,3.0,85.0
300,Audi A1,14990,34000.0,7.0,3.0,85.0
301,Audi A1,14990,9600.0,7.0,2.0,70.0
302,Audi A1,13880,88800.0,7.0,3.0,66.0
303,Audi A1,13500,59150.0,7.0,3.0,66.0
304,Audi A1,13480,110375.0,7.0,3.0,66.0
305,Audi A1,13450,26310.0,7.0,1.0,70.0
306,Audi A1,13250,65000.0,7.0,3.0,70.0
307,Audi A1,14990,49351.0,7.0,3.0,66.0
308,Audi A1,13599,58380.0,7.0,3.0,66.0
309,Audi A1,15700,31100.0,5.0,3.0,85.0
310,Audi A1,15680,79244.0,7.0,3.0,92.0
311,Audi A1,14990,49351.0,7.0,3.0,66.0
312,Audi A1,15750,58722.0,7.0,3.0,85.0
313,Audi A1,15660,11725.0,7.0,3.0,70.0
314,Audi A1,15750,41600.0,7.0,3.0,85.0
315,Audi A1,11000,56000.0,7.0,3.0,85.0
316,Audi A1,14990,60000.0,7.0,3.0,66.0
317,Audi A1,14959,56967.0,7.0,3.0,70.0
318,Audi A1,14959,56967.0,7.0,3.0,70.0
319,Audi A1,14930,87300.0,7.0,3.0,92.0
320,Audi A1,14930,86698.0,7.0,3.0,70.0
321,Audi A1,14950,70000.0,7.0,3.0,66.0
322,Audi A1,14930,87300.0,7.0,3.0,92.0
323,Audi A1,14900,115900.0,7.0,2.0,85.0
324,Audi A1,14850,25000.0,7.0,3.0,70.0
325,Audi A1,14890,58718.0,7.0,3.0,85.0
326,Audi A1,14700,35730.0,7.0,3.0,92.0
327,Audi A1,14799,75000.0,7.0,3.0,66.0
328,Audi A1,16395,58525.0,7.0,3.0,70.0
329,Audi A1,16250,37000.0,7.0,3.0,70.0
330,Audi A1,16400,42000.0,7.0,3.0,92.0
331,Audi A1,16290,53000.0,7.0,3.0,85.0
332,Audi A1,16199,31235.0,7.0,3.0,70.0
333,Audi A1,15998,72761.0,7.0,3.0,71.0
334,Audi A1,15990,73575.0,7.0,3.0,85.0
335,Audi A1,16000,19000.0,7.0,2.0,66.0
336,Audi A1,16150,19068.0,7.0,2.0,70.0
337,Audi A1,16000,11000.0,7.0,3.0,85.0
338,Audi A1,15993,33200.0,7.0,3.0,92.0
339,Audi A1,15990,45000.0,7.0,3.0,85.0
340,Audi A1,15990,42900.0,7.0,3.0,66.0
341,Audi A1,15980,52900.0,7.0,3.0,66.0
342,Audi A1,15590,40500.0,7.0,3.0,70.0
343,Audi A1,15990,146140.0,7.0,3.0,85.0
344,Audi A1,15980,44300.0,7.0,3.0,85.0
345,Audi A1,15990,9300.0,7.0,1.0,70.0
346,Audi A1,15980,72192.0,7.0,3.0,85.0
347,Audi A1,15990,46123.0,7.0,3.0,92.0
348,Audi A1,15580,18150.0,7.0,2.0,66.0
349,Audi A1,15490,42979.0,7.0,3.0,70.0
350,Audi A1,15500,24000.0,7.0,3.0,66.0
351,Audi A1,15490,40528.0,7.0,2.0,66.0
352,Audi A1,15500,104000.0,7.0,3.0,70.0
353,Audi A1,15500,63473.0,7.0,3.0,85.0
354,Audi A1,15490,29950.0,7.0,3.0,110.0
355,Audi A1,15480,25320.0,7.0,3.0,92.0
356,Audi A1,15450,24030.0,7.0,2.0,66.0
357,Audi A1,15450,36590.0,7.0,3.0,70.0
358,Audi A1,15450,34011.0,7.0,3.0,85.0
359,Audi A1,15450,25600.0,7.0,3.0,66.0
360,Audi A1,15444,13776.0,7.0,3.0,70.0
361,Audi A1,15960,34400.0,7.0,3.0,70.0
362,Audi A1,15960,34400.0,7.0,3.0,70.0
363,Audi A1,15930,66844.0,7.0,3.0,85.0
364,Audi A1,15900,58000.0,7.0,3.0,66.0
365,Audi A1,15900,40000.0,7.0,3.0,85.0
366,Audi A1,15900,41500.0,7.0,3.0,70.0
367,Audi A1,15425,43255.0,7.0,3.0,70.0
368,Audi A1,15889,42023.0,7.0,3.0,70.0
369,Audi A1,15970,36950.0,7.0,3.0,70.0
370,Audi A1,15889,106829.0,7.0,3.0,85.0
371,Audi A1,15880,49880.0,7.0,2.0,66.0
372,Audi A1,15850,50272.0,7.0,3.0,70.0
373,Audi A1,15850,69900.0,7.0,3.0,66.0
374,Audi A1,15800,19582.0,7.0,3.0,70.0
375,Audi A1,15790,43954.0,7.0,3.0,70.0
376,Audi A1,15840,32910.0,7.0,3.0,70.0
377,Audi A1,15830,23327.0,7.0,3.0,70.0
378,Audi A1,15790,32814.0,7.0,3.0,70.0
379,Audi A1,15789,59702.0,7.0,3.0,85.0
380,Audi A1,15784,65838.0,7.0,3.0,67.0
381,Audi A1,15780,23211.0,7.0,3.0,70.0
382,Audi A1,12170,97930.0,5.0,3.0,66.0
383,Audi A1,12490,70000.0,5.0,3.0,66.0
384,Audi A1,12820,54392.0,5.0,3.0,70.0
385,Audi A1,11950,73000.0,5.0,3.0,70.0
386,Audi A1,12480,111380.0,5.0,3.0,85.0
387,Audi A1,12480,63350.0,5.0,3.0,70.0
388,Audi A1,12480,129550.0,5.0,3.0,85.0
389,Audi A1,12900,28978.0,5.0,3.0,66.0
390,Audi A1,13420,61220.0,5.0,3.0,70.0
391,Audi A1,13490,71000.0,5.0,2.0,66.0
392,Audi A1,13490,24999.0,5.0,3.0,70.0
393,Audi A1,13490,46400.0,5.0,3.0,70.0
394,Audi A1,12900,62400.0,5.0,3.0,66.0
395,Audi A1,13680,81600.0,5.0,3.0,66.0
396,Audi A1,13640,65500.0,5.0,3.0,60.0
397,Audi A1,13650,25950.0,5.0,3.0,60.0
398,Audi A1,13490,32779.0,5.0,3.0,70.0
399,Audi A1,13660,75800.0,5.0,3.0,85.0
400,Audi A1,13680,23450.0,5.0,3.0,92.0
401,Audi A1,13750,63952.0,5.0,3.0,70.0
402,Audi A1,13900,34000.0,5.0,3.0,60.0
403,Audi A1,13900,47155.0,5.0,3.0,70.0
404,Audi A1,13900,80000.0,5.0,3.0,66.0
405,Audi A1,13900,39838.0,6.0,3.0,92.0
406,Audi A1,13890,29600.0,5.0,3.0,70.0
407,Audi A1,13890,30000.0,5.0,3.0,70.0
408,Audi A1,13890,22223.0,5.0,2.0,60.0
409,Audi A1,13890,107592.0,5.0,3.0,85.0
410,Audi A1,13890,125000.0,5.0,3.0,85.0
411,Audi A1,13900,20000.0,5.0,2.0,60.0
412,Audi A1,13890,38900.0,5.0,3.0,85.0
413,Audi A1,13890,18371.0,5.0,2.0,67.0
414,Audi A1,13940,84708.0,5.0,3.0,66.0
415,Audi A1,13940,115000.0,5.0,3.0,85.0
416,Audi A1,13940,58011.0,5.0,3.0,66.0
417,Audi A1,13900,56989.0,5.0,3.0,66.0
418,Audi A1,13900,65000.0,5.0,3.0,70.0
419,Audi A1,13900,40200.0,5.0,3.0,70.0
420,Audi A1,13900,59000.0,5.0,3.0,70.0
421,Audi A1,13900,24978.0,5.0,3.0,85.0
422,Audi A1,13900,10000.0,5.0,2.0,66.0
423,Audi A1,13900,100000.0,5.0,3.0,85.0
424,Audi A1,13900,44000.0,5.0,3.0,60.0
425,Audi A1,13900,36040.0,5.0,3.0,70.0
426,Audi A1,13900,84500.0,5.0,3.0,66.0
427,Audi A1,13900,45521.0,5.0,3.0,66.0
428,Audi A1,13900,61582.0,5.0,3.0,66.0
429,Audi A1,13900,67992.0,5.0,3.0,66.0
430,Audi A1,13900,54000.0,5.0,3.0,70.0
431,Audi A1,13900,100816.0,5.0,3.0,85.0
432,Audi A1,13900,49000.0,5.0,3.0,70.0
433,Audi A1,13880,69347.0,5.0,3.0,66.0
434,Audi A1,13888,80120.0,5.0,3.0,70.0
435,Audi A1,13880,88483.0,5.0,3.0,66.0
436,Audi A1,13880,51400.0,5.0,3.0,70.0
437,Audi A1,13880,63150.0,5.0,3.0,70.0
438,Audi A1,13880,41961.0,5.0,3.0,70.0
439,Audi A1,13750,63608.0,5.0,3.0,70.0
440,Audi A1,13750,41515.0,5.0,3.0,66.0
441,Audi A1,13750,91500.0,5.0,3.0,66.0
442,Audi A1,13720,62400.0,5.0,3.0,66.0
443,Audi A1,13719,31255.0,5.0,3.0,70.0
444,Audi A1,13700,37000.0,5.0,3.0,66.0
445,Audi A1,13710,55850.0,5.0,3.0,70.0
446,Audi A1,13700,70000.0,5.0,3.0,66.0
447,Audi A1,13700,70000.0,5.0,3.0,66.0
448,Audi A1,13700,87500.0,5.0,3.0,70.0
449,Audi A1,13700,62500.0,5.0,3.0,66.0
450,Audi A1,13700,77000.0,5.0,3.0,70.0
451,Audi A1,13700,53000.0,5.0,3.0,70.0
452,Audi A1,13700,39283.0,5.0,3.0,70.0
453,Audi A1,13700,56539.0,5.0,3.0,70.0
454,Audi A1,13690,32894.0,5.0,3.0,70.0
455,Audi A1,13685,100200.0,5.0,3.0,85.0
456,Audi A1,13680,15100.0,5.0,3.0,60.0
457,Audi A1,13880,51218.0,5.0,3.0,66.0
458,Audi A1,13000,88879.0,6.0,3.0,92.0
459,Audi A1,13000,29000.0,5.0,3.0,60.0
460,Audi A1,13000,29000.0,5.0,3.0,66.0
461,Audi A1,13000,37500.0,5.0,3.0,60.0
462,Audi A1,13000,28500.0,5.0,3.0,70.0
463,Audi A1,13000,46689.0,5.0,3.0,70.0
464,Audi A1,12999,21600.0,5.0,3.0,70.0
465,Audi A1,12999,16885.0,5.0,3.0,60.0
466,Audi A1,12999,22500.0,5.0,3.0,66.0
467,Audi A1,12999,80050.0,5.0,3.0,70.0
468,Audi A1,12990,17631.0,5.0,3.0,70.0
469,Audi A1,12990,65550.0,5.0,3.0,70.0
470,Audi A1,12990,66115.0,5.0,3.0,66.0
471,Audi A1,12990,56355.0,5.0,3.0,66.0
472,Audi A1,13680,93543.0,5.0,3.0,66.0
473,Audi A1,13680,79854.0,5.0,3.0,85.0
474,Audi A1,12990,118200.0,5.0,3.0,66.0
475,Audi A1,12990,62079.0,5.0,3.0,70.0
476,Audi A1,13680,33928.0,5.0,3.0,60.0
477,Audi A1,12990,41200.0,5.0,3.0,70.0
478,Audi A1,13860,92602.0,5.0,3.0,85.0
479,Audi A1,13840,20680.0,5.0,3.0,60.0
480,Audi A1,13850,31284.0,5.0,3.0,70.0
481,Audi A1,13850,45258.0,5.0,3.0,70.0
482,Audi A1,13850,45258.0,5.0,3.0,70.0
483,Audi A1,13830,46460.0,5.0,3.0,70.0
484,Audi A1,13820,22033.0,5.0,3.0,70.0
485,Audi A1,13820,67359.0,5.0,3.0,70.0
486,Audi A1,13800,94800.0,5.0,3.0,66.0
487,Audi A1,13800,85000.0,5.0,3.0,66.0
488,Audi A1,13800,53000.0,5.0,3.0,85.0
489,Audi A1,13799,31779.0,6.0,3.0,92.0
490,Audi A1,13794,32264.0,5.0,3.0,70.0
491,Audi A1,13790,57000.0,5.0,3.0,66.0
492,Audi A1,13790,49400.0,5.0,3.0,60.0
493,Audi A1,13790,57000.0,5.0,3.0,66.0
